Size,Algorithm,DataType,Comparisons,Time_ms
500,MSDRadixSort,Prefix,4529,76.829
500,MSDRadixSort+QuickSort,Random,1512,14.807
500,MSDRadixSort+QuickSort,Reversed,1463,14.329
500,MSDRadixSort+QuickSort,AlmostSorted,1505,12.885
500,MSDRadixSort+QuickSort,Prefix,5025,123.746
600,StandardMergeSort,Random,6106,10.980
600,StandardMergeSort,Reversed,3628,9.655
600,StandardMergeSort,AlmostSorted,4916,11.222
600,StandardMergeSort,Prefix,39542,14.705
600,StandardQuickSort,Random,7578,0.162
600,StandardQuickSort,Reversed,182195,3.709
600,StandardQuickSort,AlmostSorted,56882,1.196
600,StandardQuickSort,Prefix,54914,0.355
600,TernaryQuickSort,Random,5260,0.115
600,TernaryQuickSort,Reversed,5493,0.102
600,TernaryQuickSort,AlmostSorted,5778,0.098
600,TernaryQuickSort,Prefix,9438,0.136
600,LCPMergeSort,Random,6106,11.545
600,LCPMergeSort,Reversed,3628,10.522
600,LCPMergeSort,AlmostSorted,4916,11.808
600,LCPMergeSort,Prefix,39542,15.171
600,MSDRadixSort,Random,1262,15.411
600,MSDRadixSort,Reversed,1255,14.563
600,MSDRadixSort,AlmostSorted,1256,22.897
600,MSDRadixSort,Prefix,5467,111.800
600,MSDRadixSort+QuickSort,Random,1949,11.481
600,MSDRadixSort+QuickSort,Reversed,1974,10.346
600,MSDRadixSort+QuickSort,AlmostSorted,1989,6.719
600,MSDRadixSort+QuickSort,Prefix,6144,130.657
700,StandardMergeSort,Random,7422,38.525
700,StandardMergeSort,Reversed,4368,38.125
700,StandardMergeSort,AlmostSorted,6000,48.756
700,StandardMergeSort,Prefix,47797,47.374
700,StandardQuickSort,Random,8345,0.181
700,StandardQuickSort,Reversed,247993,5.173
700,StandardQuickSort,AlmostSorted,80423,1.707
700,StandardQuickSort,Prefix,65107,0.431
700,TernaryQuickSort,Random,7110,0.195
700,TernaryQuickSort,Reversed,6171,0.131
700,TernaryQuickSort,AlmostSorted,6222,0.133
700,TernaryQuickSort,Prefix,11935,0.255
700,LCPMergeSort,Random,7422,36.620
700,LCPMergeSort,Reversed,4368,36.244
700,LCPMergeSort,AlmostSorted,6000,44.554
700,LCPMergeSort,Prefix,47797,47.500
700,MSDRadixSort,Random,1481,47.258
700,MSDRadixSort,Reversed,1498,66.841
700,MSDRadixSort,AlmostSorted,1467,44.059
700,MSDRadixSort,Prefix,6386,217.419
700,MSDRadixSort+QuickSort,Random,2357,11.946
700,MSDRadixSort+QuickSort,Reversed,2402,14.979
700,MSDRadixSort+QuickSort,AlmostSorted,2321,12.797
700,MSDRadixSort+QuickSort,Prefix,7274,254.717
800,StandardMergeSort,Random,8783,20.592
800,StandardMergeSort,Reversed,5204,20.119
800,StandardMergeSort,AlmostSorted,6906,21.415
800,StandardMergeSort,Prefix,55823,25.333
800,StandardQuickSort,Random,10152,0.228
800,StandardQuickSort,Reversed,323874,6.461
800,StandardQuickSort,AlmostSorted,141930,3.529
800,StandardQuickSort,Prefix,69306,0.488
800,TernaryQuickSort,Random,6720,0.152
800,TernaryQuickSort,Reversed,7471,0.146
800,TernaryQuickSort,AlmostSorted,7610,0.172
800,TernaryQuickSort,Prefix,14422,0.224
800,LCPMergeSort,Random,8783,20.801
800,LCPMergeSort,Reversed,5204,20.178
800,LCPMergeSort,AlmostSorted,6906,23.811
800,LCPMergeSort,Prefix,55823,25.480
800,MSDRadixSort,Random,1725,22.354
800,MSDRadixSort,Reversed,1683,23.428
800,MSDRadixSort,AlmostSorted,1708,22.781
800,MSDRadixSort,Prefix,7303,266.213
800,MSDRadixSort+QuickSort,Random,2912,19.064
800,MSDRadixSort+QuickSort,Reversed,2905,20.281
800,MSDRadixSort+QuickSort,AlmostSorted,2863,24.168
800,MSDRadixSort+QuickSort,Prefix,8521,366.249
