Size,Algorithm,DataType,Comparisons,Time_ms
2400,StandardMergeSort,AlmostSorted,26066,144.493
2400,StandardMergeSort,Prefix,201970,133.149
2400,StandardQuickSort,Random,40810,0.850
2400,StandardQuickSort,Reversed,2917516,58.791
2400,StandardQuickSort,AlmostSorted,1144893,25.870
2400,StandardQuickSort,Prefix,247296,2.162
2400,TernaryQuickSort,Random,26170,0.540
2400,TernaryQuickSort,Reversed,28554,0.532
2400,TernaryQuickSort,AlmostSorted,30102,0.582
2400,TernaryQuickSort,Prefix,43019,0.645
2400,LCPMergeSort,Random,33904,107.007
2400,LCPMergeSort,Reversed,19577,112.728
2400,LCPMergeSort,AlmostSorted,26066,133.397
2400,LCPMergeSort,Prefix,201970,136.555
2400,MSDRadixSort,Random,5678,143.880
2400,MSDRadixSort,Reversed,5645,153.267
2400,MSDRadixSort,AlmostSorted,5679,173.835
2400,MSDRadixSort,Prefix,22445,891.856
2400,MSDRadixSort+QuickSort,Random,12903,100.554
2400,MSDRadixSort+QuickSort,Reversed,12353,100.807
2400,MSDRadixSort+QuickSort,AlmostSorted,13007,85.769
2400,MSDRadixSort+QuickSort,Prefix,29302,805.896
2500,StandardMergeSort,Random,35610,174.229
2500,StandardMergeSort,Reversed,20613,84.543
2500,StandardMergeSort,AlmostSorted,26708,122.478
2500,StandardMergeSort,Prefix,211655,147.892
2500,StandardQuickSort,Random,44607,0.873
2500,StandardQuickSort,Reversed,3166060,62.414
2500,StandardQuickSort,AlmostSorted,1051965,22.346
2500,StandardQuickSort,Prefix,280687,1.765
2500,TernaryQuickSort,Random,27491,0.552
2500,TernaryQuickSort,Reversed,27539,0.483
2500,TernaryQuickSort,AlmostSorted,27784,0.499
2500,TernaryQuickSort,Prefix,46258,0.693
2500,LCPMergeSort,Random,35610,145.679
2500,LCPMergeSort,Reversed,20613,113.571
2500,LCPMergeSort,AlmostSorted,26708,125.415
2500,LCPMergeSort,Prefix,211655,139.230
2500,MSDRadixSort,Random,5926,119.737
2500,MSDRadixSort,Reversed,5885,136.284
2500,MSDRadixSort,AlmostSorted,5922,167.627
2500,MSDRadixSort,Prefix,23396,609.594
2500,MSDRadixSort+QuickSort,Random,13247,107.506
2500,MSDRadixSort+QuickSort,Reversed,13281,106.123
2500,MSDRadixSort+QuickSort,AlmostSorted,13562,84.837
2500,MSDRadixSort+QuickSort,Prefix,30896,742.516
2600,StandardMergeSort,Random,37515,78.414
2600,StandardMergeSort,Reversed,21619,74.530
2600,StandardMergeSort,AlmostSorted,26880,83.883
2600,StandardMergeSort,Prefix,221144,130.807
2600,StandardQuickSort,Random,47663,0.920
2600,StandardQuickSort,Reversed,3424187,68.238
2600,StandardQuickSort,AlmostSorted,1323759,27.993
2600,StandardQuickSort,Prefix,274391,1.726
2600,TernaryQuickSort,Random,29046,0.558
2600,TernaryQuickSort,Reversed,30940,0.516
2600,TernaryQuickSort,AlmostSorted,27989,0.484
2600,TernaryQuickSort,Prefix,46767,0.677
2600,LCPMergeSort,Random,37515,90.506
2600,LCPMergeSort,Reversed,21619,104.799
2600,LCPMergeSort,AlmostSorted,26880,93.554
2600,LCPMergeSort,Prefix,221144,138.232
2600,MSDRadixSort,Random,6213,124.438
2600,MSDRadixSort,Reversed,6162,114.811
2600,MSDRadixSort,AlmostSorted,6146,137.984
2600,MSDRadixSort,Prefix,24423,801.136
2600,MSDRadixSort+QuickSort,Random,14167,67.817
2600,MSDRadixSort+QuickSort,Reversed,14298,68.204
2600,MSDRadixSort+QuickSort,AlmostSorted,14034,53.493
2600,MSDRadixSort+QuickSort,Prefix,32306,843.491
2700,StandardMergeSort,Random,39179,68.232
2700,StandardMergeSort,Reversed,22562,68.598
2700,StandardMergeSort,AlmostSorted,29880,77.102
2700,StandardMergeSort,Prefix,231119,85.279
2700,StandardQuickSort,Random,48112,0.902
2700,StandardQuickSort,Reversed,3693083,73.510
2700,StandardQuickSort,AlmostSorted,691550,12.359
2700,StandardQuickSort,Prefix,282720,1.932
2700,TernaryQuickSort,Random,31404,0.611
2700,TernaryQuickSort,Reversed,31710,0.520
2700,TernaryQuickSort,AlmostSorted,34663,0.595
2700,TernaryQuickSort,Prefix,47974,0.719
2700,LCPMergeSort,Random,39179,70.318
2700,LCPMergeSort,Reversed,22562,71.448
2700,LCPMergeSort,AlmostSorted,29880,76.420
2700,LCPMergeSort,Prefix,231119,89.898
2700,MSDRadixSort,Random,6434,119.148
2700,MSDRadixSort,Reversed,6414,113.469
2700,MSDRadixSort,AlmostSorted,6463,59.705
2700,MSDRadixSort,Prefix,25388,795.199
2700,MSDRadixSort+QuickSort,Random,14597,61.431
2700,MSDRadixSort+QuickSort,Reversed,14587,61.720
2700,MSDRadixSort+QuickSort,AlmostSorted,14763,65.947
2700,MSDRadixSort+QuickSort,Prefix,33736,1332.274
2800,StandardMergeSort,Random,40947,119.932
2800,StandardMergeSort,Reversed,23600,117.649
2800,StandardMergeSort,AlmostSorted,29640,129.143
2800,StandardMergeSort,Prefix,240795,145.851
2800,StandardQuickSort,Random,51742,1.004
2800,StandardQuickSort,Reversed,3971962,79.767
2800,StandardQuickSort,AlmostSorted,1923313,43.739
2800,StandardQuickSort,Prefix,342195,2.106
2800,TernaryQuickSort,Random,32690,0.662
2800,TernaryQuickSort,Reversed,29999,0.560
2800,TernaryQuickSort,AlmostSorted,31778,0.541
2800,TernaryQuickSort,Prefix,53069,0.751
2800,LCPMergeSort,Random,40947,122.322
2800,LCPMergeSort,Reversed,23600,119.348
2800,LCPMergeSort,AlmostSorted,29640,123.390
2800,LCPMergeSort,Prefix,240795,148.706
2800,MSDRadixSort,Random,6722,133.694
2800,MSDRadixSort,Reversed,6667,130.441
2800,MSDRadixSort,AlmostSorted,6762,206.045
2800,MSDRadixSort,Prefix,26314,629.803
2800,MSDRadixSort+QuickSort,Random,15573,86.948
2800,MSDRadixSort+QuickSort,Reversed,15562,90.000
2800,MSDRadixSort+QuickSort,AlmostSorted,15845,82.522
2800,MSDRadixSort+QuickSort,Prefix,35201,671.739
2900,StandardMergeSort,Random,42771,86.336
2900,StandardMergeSort,Reversed,24600,93.639
2900,StandardMergeSort,AlmostSorted,31672,96.578
2900,StandardMergeSort,Prefix,251165,133.909
2900,StandardQuickSort,Random,52324,0.978
2900,StandardQuickSort,Reversed,4259992,80.814
2900,StandardQuickSort,AlmostSorted,1224709,26.358
2900,StandardQuickSort,Prefix,315912,1.944
2900,TernaryQuickSort,Random,34274,0.666
2900,TernaryQuickSort,Reversed,31713,0.585
2900,TernaryQuickSort,AlmostSorted,33047,0.567
2900,TernaryQuickSort,Prefix,51656,0.758
2900,LCPMergeSort,Random,42771,101.176
2900,LCPMergeSort,Reversed,24600,104.906
2900,LCPMergeSort,AlmostSorted,31672,122.902
2900,LCPMergeSort,Prefix,251165,142.083
2900,MSDRadixSort,Random,7003,124.497
2900,MSDRadixSort,Reversed,6918,130.798
2900,MSDRadixSort,AlmostSorted,6972,253.235
2900,MSDRadixSort,Prefix,27283,945.013
2900,MSDRadixSort+QuickSort,Random,16214,115.244
2900,MSDRadixSort+QuickSort,Reversed,16688,129.802
2900,MSDRadixSort+QuickSort,AlmostSorted,16372,120.592
2900,MSDRadixSort+QuickSort,Prefix,36535,1182.052
3000,StandardMergeSort,Random,44403,119.275
3000,StandardMergeSort,Reversed,25766,115.960
3000,StandardMergeSort,AlmostSorted,33248,124.531
3000,StandardMergeSort,Prefix,260887,173.787
3000,StandardQuickSort,Random,52667,1.025
3000,StandardQuickSort,Reversed,4559185,92.413
3000,StandardQuickSort,AlmostSorted,978525,17.675
3000,StandardQuickSort,Prefix,326542,2.064
3000,TernaryQuickSort,Random,34662,1.315
3000,TernaryQuickSort,Reversed,33807,0.577
3000,TernaryQuickSort,AlmostSorted,33943,0.588
3000,TernaryQuickSort,Prefix,54893,0.800
3000,LCPMergeSort,Random,44403,125.283
3000,LCPMergeSort,Reversed,25766,128.141
3000,LCPMergeSort,AlmostSorted,33248,147.329
3000,LCPMergeSort,Prefix,260887,147.160
3000,MSDRadixSort,Random,7217,187.954
3000,MSDRadixSort,Reversed,7280,183.429
3000,MSDRadixSort,AlmostSorted,7294,159.552
3000,MSDRadixSort,Prefix,28214,1072.538
3000,MSDRadixSort+QuickSort,Random,16846,211.174
3000,MSDRadixSort+QuickSort,Reversed,16762,192.704
3000,MSDRadixSort+QuickSort,AlmostSorted,16888,148.871
3000,MSDRadixSort+QuickSort,Prefix,38177,1290.700
